			average	sem
Country	China	AUC	0.7777404342452883	0.004556479247976741
Country	China	Accuracy	0.7771371833404894	0.004561920865668783
Country	China	F1 Score	0.7772513758746075	0.005035375939780048
Country	Ecuador	AUC	0.47697536176451844	0.024439885646840957
Country	Ecuador	Accuracy	0.47688531905399373	0.023163122740413964
Country	Ecuador	F1 Score	0.3906012327699075	0.031643149989937544
Country	USA	AUC	0.5557432281956363	0.0049215379587659305
Country	USA	Accuracy	0.553984348125215	0.0048947539056469315
Country	USA	F1 Score	0.5552150892749171	0.005830067046919996
Variable_Region	V1V2	AUC	0.4396336327071621	0.014245608063223345
Variable_Region	V1V2	Accuracy	0.4495523809523809	0.013866813251449192
Variable_Region	V1V2	F1 Score	0.5389519536956143	0.014517821058216978
Variable_Region	V3V4	AUC	0.6835592221076516	0.007800766104975492
Variable_Region	V3V4	Accuracy	0.6894397496087636	0.007653550735418344
Variable_Region	V3V4	F1 Score	0.7266521943434641	0.007631220693874537
Variable_Region	V4	AUC	0.6453276569451478	0.004651597160040352
Variable_Region	V4	Accuracy	0.6471967543736223	0.004650269904519739
Variable_Region	V4	F1 Score	0.6132650053903582	0.005638740522319077
Sex	Unknown	AUC	0.666594802266503	0.009676011687005858
Sex	Unknown	Accuracy	0.6731515151515153	0.009721860277314686
Sex	Unknown	F1 Score	0.6006847434962651	0.013028735868388652
Sex	female	AUC	0.5488318506484403	0.007772589389249664
Sex	female	Accuracy	0.5853420765027323	0.007842672380761796
Sex	female	F1 Score	0.39210730436670155	0.01259616938891694
Sex	male	AUC	0.6710040564903024	0.004301400222111679
Sex	male	Accuracy	0.6786123385939743	0.004297892163840433
Sex	male	F1 Score	0.7213419949545684	0.00416849562435016
Control_relation	No Relationship	AUC	0.6966439243736038	0.004172092544205876
Control_relation	No Relationship	Accuracy	0.6972609045702108	0.004110734036741543
Control_relation	No Relationship	F1 Score	0.6752379518961279	0.005124540528841667
Control_relation	Related	AUC	0.5130402964895977	0.006874941559686513
Control_relation	Related	Accuracy	0.5220687237026648	0.006873976215917388
Control_relation	Related	F1 Score	0.589870782448832	0.006966646243538021
seq_depth_range	< 6000	AUC	0.5788528445826584	0.005777633826789089
seq_depth_range	< 6000	Accuracy	0.58240625	0.005794294405382764
seq_depth_range	< 6000	F1 Score	0.5250086558911615	0.007569343543026498
seq_depth_range	> 1400	AUC	0.7119421412671031	0.0046893122112247375
seq_depth_range	> 1400	Accuracy	0.7142006191950464	0.00466053973868335
seq_depth_range	> 1400	F1 Score	0.7385261610575444	0.004507341691665847
